Product StockKeepingUnit,Price (01s68000002Qj2IAAS) RON,Price (01s68000002Qj2IAAS) EUR,IsActive
5200885584,134.09,,true
5200885585,221.81,,true
5200885586,186.52,,true
5200885587,149.66,,true
5200885588,138.76,,true
5200885589,134.09,,true
5200885590,221.81,,true
5200885591,186.52,,true
5200885592,149.66,,true
5200885593,138.76,,true
5200885594,134.09,,true
5200885595,221.81,,true
5200885596,186.52,,true
5200885597,149.66,,true
5200885598,138.76,,true
5200885599,134.09,,true
5200885600,221.81,,true
5200885601,186.52,,true
5200885602,149.66,,true
5200885603,138.76,,true
5200885604,134.09,,true
5200885605,221.81,,true
5200885606,186.52,,true
5200885607,149.66,,true
5200885608,138.76,,true
5200885609,134.09,,true
5200885610,221.81,,true
5200885611,186.52,,true
5200885612,149.66,,true
5200885613,138.76,,true
5200885614,134.09,,true
5200885615,221.81,,true
5200885616,186.52,,true
5200885617,149.66,,true
5200885618,138.76,,true
5200885619,134.09,,true
5200885620,221.81,,true
5200885621,186.52,,true
5200885622,149.66,,true
5200885623,138.76,,true
5200885624,134.09,,true
5200885625,130.93,,true
5200885626,221.81,,true
5200885627,186.52,,true
5200885628,149.66,,true
5200885629,138.76,,true
5200885630,134.09,,true
5200885631,221.81,,true
5200885632,186.52,,true
5200885633,149.66,,true
5200885634,138.76,,true
5200885635,134.09,,true
5200885636,221.81,,true
5200885637,186.52,,true
5200885638,149.66,,true
5200885639,138.76,,true
5200885640,134.09,,true
5200885641,221.81,,true
5200885642,186.52,,true
5200885643,149.66,,true
5200885644,138.76,,true
5200885645,134.09,,true
5200885646,221.81,,true
5200885647,186.52,,true
5200885648,149.66,,true
5200885649,138.76,,true
5200885650,134.09,,true
5200885651,130.93,,true
5200885652,221.81,,true
5200885653,186.52,,true
5200885654,149.66,,true
5200885655,138.76,,true
5200885656,134.09,,true
5200885657,221.81,,true
5200885658,186.52,,true
5200885659,149.66,,true
5200885660,138.76,,true
5200885661,134.09,,true
5200885662,221.81,,true
5200885663,186.52,,true
5200885664,149.66,,true
5200885665,138.76,,true
5200885666,134.09,,true
5200885667,221.81,,true
5200885668,186.52,,true
5200885669,149.66,,true
5200885670,138.76,,true
5200885758,297.05,,true
5200885759,297.05,,true
5200885760,297.05,,true
5200885761,297.05,,true
5200885762,297.05,,true
5200885763,297.05,,true
5200885764,297.05,,true
5200885765,297.05,,true
5200885766,297.05,,true
5200885767,297.05,,true
5200885768,297.05,,true
5200885769,297.05,,true
5200885770,297.05,,true
5200885771,216.98,,true
5200885772,226.41,,true
5200885773,209.31,,true
5200885774,209.31,,true
5200885775,226.41,,true
5200885776,216.98,,true
5200885777,226.41,,true
5200885778,216.98,,true
5200885779,209.31,,true
5200885780,216.98,,true
5200885781,209.31,,true
5200885782,209.31,,true
5200885783,209.31,,true
5200885784,209.31,,true
5200885785,226.41,,true
5200885786,209.31,,true
5200885700,149.66,,true
5200885701,138.76,,true
5200885702,134.09,,true
5200885703,221.81,,true
5200885704,186.52,,true
5200885705,149.66,,true
5200885706,138.76,,true
5200885707,134.09,,true
5200885708,221.81,,true
5200885709,186.52,,true
5200885710,149.66,,true
5200885711,138.76,,true
5200885712,134.09,,true
5200885713,221.81,,true
5200885714,186.52,,true
5200885715,149.66,,true
5200885716,138.76,,true
5200885717,134.09,,true
5200885718,204.11,,true
5200885719,297.05,,true
5200885720,297.05,,true
5200885721,297.05,,true
5200885722,297.05,,true
5200885723,297.05,,true
5200885724,297.05,,true
5200885725,297.05,,true
5200885726,297.05,,true
5200885727,297.05,,true
5200885728,297.05,,true
5200885729,297.05,,true
5200885730,297.05,,true
5200885731,297.05,,true
5200885732,297.05,,true
5200885733,297.05,,true
5200885734,297.05,,true
5200885735,297.05,,true
5200885736,297.05,,true
5200885737,297.05,,true
5200885738,297.05,,true
5200885739,297.05,,true
5200885740,297.05,,true
5200885741,297.05,,true
5200885742,297.05,,true
5200885743,297.05,,true
5200885744,297.05,,true
5200885745,297.05,,true
5200885746,297.05,,true
5200885747,297.05,,true
5200885748,297.05,,true
5200885749,297.05,,true
5200885750,297.05,,true
5200885751,297.05,,true
5200885752,297.05,,true
5200885753,297.05,,true
5200885754,297.05,,true
5200885755,297.05,,true
5200885756,297.05,,true
5200885757,297.05,,true
5200885671,134.09,,true
5200885672,221.81,,true
5200885673,186.52,,true
5200885674,149.66,,true
5200885675,138.76,,true
5200885676,134.09,,true
5200885677,221.81,,true
5200885678,186.52,,true
5200885679,149.66,,true
5200885680,138.76,,true
5200885681,134.09,,true
5200885682,221.81,,true
5200885683,186.52,,true
5200885684,149.66,,true
5200885685,138.76,,true
5200885686,134.09,,true
5200885687,221.81,,true
5200885688,186.52,,true
5200885689,149.66,,true
5200885690,138.76,,true
5200885691,134.09,,true
5200885692,130.93,,true
5200885693,221.81,,true
5200885694,186.52,,true
5200885695,149.66,,true
5200885696,138.76,,true
5200885697,134.09,,true
5200885698,221.81,,true
5200885699,186.52,,true
5200885497,138.76,,true
5200885498,134.09,,true
5200885499,186.52,,true
5200885500,149.66,,true
5200885501,138.76,,true
5200885502,134.09,,true
5200885503,221.81,,true
5200885504,186.52,,true
5200885505,149.66,,true
5200885506,138.76,,true
5200885507,134.09,,true
5200885508,221.81,,true
5200885509,186.52,,true
5200885510,149.66,,true
