Product StockKeepingUnit,Price (01s68000002Qj2OAAS) EUR,IsActive
5200569259,27.74,true
5200569260,29.89,true
5200569261,32.11,true
5200569262,33.75,true
5200569307,111.5,true
5200569553,14.22,true
5200569554,14.94,true
5200569556,17.43,true
5200569558,18.66,true
5200569559,21.27,true
5200569560,20.87,true
5200569744,19.86,true
5200569857,40.38,true
5200570270,10.71,true
5200570420,8.18,true
5200571872,9.05,true
5200572339,4.87,true
5200573451,26.09,true
5200573467,31.29,true
5200868643,21.5,true
5200868644,25.1,true
5200868645,26.62,true
5200868646,28.4,true
5200868647,31.96,true
5200868648,35.51,true
5200868649,39.05,true
5200868650,42.58,true
5200868651,44.36,true
5200868652,9.43,true
5200868653,11.33,true
5200868654,15.1,true
5200868655,18.52,true
5200868656,22.22,true
5200868657,25.95,true
5200868658,27.27,true
5200868665,8.68,true
5200868666,10.4,true
5200868667,13.87,true
5200868668,17.34,true
5200868669,20.8,true
5200868670,24.27,true
5200868671,26.01,true
5200868730,2.75,true
5200868731,3.47,true
5200868732,4.02,true
5200868733,4.31,true
5200868734,4.6,true
5200868735,5.48,true
5200868736,7.26,true
5200558098,5.17,true
5200558099,60.74,true
5200558143,71.82,true
5200558144,62.93,true
5200558145,31.46,true
5200558146,68.4,true
5200558165,3.48,true
5200558166,1.39,true
5200558167,0.69,true
5200558269,12.34,true
5200558282,81.99,true
5200558300,6.09,true
5200558301,7.85,true
5200558302,5.23,true
5200558303,5.82,true
5200558304,4.53,true
5200558305,6.62,true
5200558306,8.03,true
5200558307,5.27,true
5200558308,4.06,true
5200558309,4.98,true
5200558311,20.56,true
5200558314,7.95,true
5200573474,26.09,true
5200573478,26.09,true
5200573726,26.09,true
5200575818,1.39,true
5200576648,2.82,true
5200600481,3.99,true
5200601401,3.97,true
5200601914,199.75,true
5200602730,2.79,true
5200603326,12.3,true
5200603327,12.3,true
5200603328,12.3,true
5200603329,12.3,true
5200603330,12.3,true
5200603331,12.3,true
5200603334,70.79,true
5200605114,15.05,true
5200605180,12.46,true
5200608984,36.56,true
5200608987,35.24,true
5200609359,6.46,true
5200609386,20.14,true
5200609535,305.86,true
5200609765,3.5,true
5200615510,2.58,true
5200619897,40.38,true
5200620158,4.88,true
5200868737,8.47,true
5200868738,9.07,true
5200868739,9.68,true
5200868740,10.9,true
5200868741,12.11,true
5200868742,13.31,true
5200868743,14.54,true
5200868744,15.14,true
5200868748,6.95,true
5200868749,8.78,true
5200868750,10.24,true
5200868751,10.85,true
5200868752,11.59,true
5200868753,13.04,true
5200868754,14.49,true
5200868755,15.94,true
5200868756,17.39,true
5200868757,18.11,true
5200868761,10.78,true
5200868762,12.93,true
5200868763,15.08,true
5200868764,15.87,true
5200868765,16.92,true
5200868766,19.05,true
5200868767,21.16,true
5200868768,23.27,true
5200868769,25.39,true
5200874712,5.03,true
5200874717,5.88,true
5200874718,6.37,true
5200558315,9.78,true
5200558317,10.17,true
5200568322,35.33,true
5200568323,28.26,true
5200568324,3.59,true
5200568325,4.48,true
5200568326,5.76,true
5200568327,6.38,true
5200568328,3.59,true
5200568329,4.48,true
5200568330,4.66,true
5200568331,4.93,true
5200568332,5.38,true
5200568333,4.18,true
5200568334,5.23,true
5200568335,5.44,true
5200568336,5.76,true
5200568337,6.28,true
5200568338,3.41,true
5200568339,4.27,true
5200568340,4.44,true
5200568341,4.69,true
5200568342,5.12,true
5200568343,4.47,true
5200568344,5.6,true
5200568345,5.82,true
5200568346,6.16,true
5200568347,6.72,true
5200568348,5.1,true
5200568349,6.38,true
5200620159,41.17,true
5200620947,35.22,true
5200633067,0.62,true
5200633068,1.24,true
5200633853,4.19,true
5200636873,36.68,true
5200636913,36.68,true
5200637107,36.68,true
5200637108,36.68,true
5200637111,36.68,true
5200637117,36.68,true
5200637121,36.68,true
5200637339,36.98,true
5200637557,36.98,true
5200637772,36.98,true
5200637775,36.98,true
5200637778,44.88,true
5200638110,44.88,true
5200638638,16.92,true
5200640711,34.04,true
5200642235,5.23,true
5200660334,12.59,true
5200661054,3.89,true
5200874719,4.75,true
5200874720,14.34,true
5200874721,5.88,true
5200874722,6.37,true
5200874723,5.03,true
5200874724,11.31,true
5200874725,5.03,true
5200874726,5.88,true
5200874727,5.03,true
5200874728,6.37,true
5200874729,5.03,true
5200874733,11.31,true
5200874761,5.88,true
5200874762,6.37,true
5200874763,6.37,true
5200874764,11.31,true
5200874765,5.03,true
5200874766,5.07,true
5200874768,5.03,true
5200874769,4.85,true
5200874770,5.88,true
5200874771,5.88,true
5200874772,5.88,true
5200874773,11.31,true
5200874774,5.88,true
5200874775,11.31,true
5200874776,6.37,true
5200877533,9.24,true
5200878491,105.97,true
5200878493,104.93,true
5200880407,5.96,true
5200568350,6.64,true
5200568351,7.02,true
5200568352,7.66,true
5200568353,5.01,true
5200568354,6.26,true
5200568355,6.51,true
5200568356,6.89,true
5200568357,7.51,true
5200568368,5.03,true
5200568369,5.86,true
5200568370,4.75,true
5200568372,4.85,true
5200568373,5.46,true
5200568374,5.74,true
5200568375,6.7,true
5200568376,7.16,true
5200568377,5.11,true
5200568378,5.97,true
5200568379,6.38,true
5200568381,1.8,true
5200568382,1.71,true
5200568384,6.28,true
5200568387,5.65,true
5200568388,4.9,true
5200568389,6.37,true
5200568533,98.12,true
5200568534,103.25,true
5200568576,1.05,true
5200568577,1.57,true
5200568586,0.96,true
5200662604,331.78,true
5200662605,328.75,true
5200662606,199.15,true
5200665103,174.1,true
5200665156,7.16,true
5200666191,155.39,true
5200666193,36.8,true
5200675191,4.29,true
5200676000,8.61,true
5200676667,19.86,true
5200677175,3.09,true
5200677580,6.71,true
5200678030,55.01,true
5200680657,3.36,true
5200682021,1.75,true
5200688500,57.96,true
5200690542,115.43,true
5200690546,239.08,true
5200691081,160.14,true
5200691107,175.49,true
5200691131,168.7,true
5200691135,1.17,true
5200691147,187.28,true
5200691151,119.19,true
5200691156,123.91,true
5200884843,31.29,true
5200885718,36.98,true
5200886264,36.98,true
5200886610,37.57,true
5200886614,38.05,true
5200886615,37.57,true
5200886629,37.57,true
5200886768,55.2,true
5200887153,36.68,true
5200887373,37.57,true
5200887461,44.88,true
5200888991,123.41,true
5200888995,119.61,true
5200889430,2.04,true
5200889431,2.38,true
5200889432,2.96,true
5200889433,3.66,true
5200889434,4.39,true
5200889435,5.28,true
5200889436,5.5,true
5200889437,5.89,true
5200889438,6.9,true
5200889439,7.3,true
5200889440,8.43,true
5200889441,8.85,true
5200889442,9.05,true
5200889445,5.36,true
5200889446,6.43,true
5200889447,7.5,true
5200568588,1.05,true
5200568592,2.05,true
5200568614,2.47,true
5200568615,2.91,true
5200568617,3.28,true
5200568619,3.71,true
5200568620,4.12,true
5200568641,2.47,true
5200568713,4.1,true
5200568762,2.1,true
5200568889,498.18,true
5200568892,56.63,true
5200568895,15.62,true
5200568897,20.24,true
5200568902,438.4,true
5200568903,113.27,true
5200568904,11.85,true
5200568907,34.41,true
5200568910,13.01,true
5200568911,16.26,true
5200568913,1.22,true
5200568914,1.27,true
5200568915,1.76,true
5200568916,1.86,true
5200568917,1.95,true
5200568918,2,true
5200568919,2.03,true
5200568920,2.11,true
5200568921,2.42,true
5200694646,9.86,true
5200694647,24.12,true
5200764854,40.38,true
5200764855,40.38,true
5200764857,40.38,true
5200764858,40.38,true
5200764859,40.38,true
5200764860,40.38,true
5200765109,22.11,true
5200769523,26.09,true
5200772424,99.59,true
5200774042,58.39,true
5200774057,3.82,true
5200774734,7.4,true
5200775325,21.1,true
5200775326,24.34,true
5200775327,27.77,true
5200775328,36.76,true
5200813884,3.59,true
5200813885,4.48,true
5200813886,4.66,true
5200813888,4.93,true
5200813889,5.38,true
5200813892,4.18,true
5200813894,5.23,true
5200813896,5.44,true
5200813897,6.28,true
5200889448,7.97,true
5200889449,8.42,true
5200889450,9.47,true
5200889451,10.52,true
5200889452,11.57,true
5200889453,12.61,true
5200889454,13.14,true
5200889810,14.82,true
5200891273,18.54,true
5200892812,1.67,true
5200892814,0.85,true
5200892819,1.95,true
5200892821,2.3,true
5200892823,2.47,true
5200892825,2.6,true
5200892827,2.96,true
5200892829,3.29,true
5200893012,8.58,true
5200893016,10.58,true
5200898621,4.08,true
5200898679,32.65,true
5200898682,34.41,true
5200898683,21.88,true
5200898700,21.88,true
5200898701,21.88,true
5200898703,21.88,true
5200898704,21.88,true
5200898705,21.88,true
5200898706,26.04,true
5200568922,2.7,true
5200568923,2.98,true
5200568924,1.71,true
5200568925,1.79,true
5200568926,2.34,true
5200568927,2.43,true
5200568928,2.58,true
5200568929,2.66,true
5200568930,2.7,true
5200568931,2.82,true
5200568932,3.24,true
5200568933,3.56,true
5200568934,3.9,true
5200568935,4.38,true
5200568936,4.77,true
5200568937,4.91,true
5200568938,5.5,true
5200568939,5.64,true
5200568940,7.65,true
5200568941,6.87,true
5200568942,8.84,true
5200568943,9.43,true
5200568944,11.98,true
5200568945,12.43,true
5200568946,12.88,true
5200568947,13.4,true
5200568948,2.37,true
5200568949,2.45,true
5200568950,3.05,true
5200568951,3.21,true
5200813899,3.41,true
5200813900,4.27,true
5200813901,4.44,true
5200813904,5.82,true
5200816273,15.64,true
5200817335,24.51,true
5200817338,7.25,true
5200817344,2.41,true
5200817347,1.21,true
5200817348,3.82,true
5200817355,85.09,true
5200817362,22.97,true
5200821268,17.9,true
5200821270,7.25,true
5200822141,9.27,true
5200822143,7.22,true
5200822421,5.1,true
5200822808,6.51,true
5200823388,16.4,true
5200823617,204.79,true
5200837842,157.49,true
5200837843,189.71,true
5200839525,1.97,true
5200841960,7.79,true
5200841962,11.23,true
5200841963,13.55,true
5200842175,11.02,true
5200842692,25.85,true
5200842693,17.28,true
5200898707,32.65,true
5200898733,26.04,true
5200898734,32.65,true
5200898759,26.04,true
5200898762,33.26,true
5200898763,27.05,true
5200898765,33.26,true
5200898767,27.05,true
5200898770,33.26,true
5200898771,27.05,true
5200898784,31.83,true
5200898786,34.41,true
5200898790,31.83,true
5200898792,34.41,true
5200898793,31.83,true
5200899059,222.26,true
5200899371,10.36,true
5200899372,10.36,true
5200899374,10.36,true
5200899376,10.36,true
5200899378,10.36,true
5200899379,10.36,true
5200899380,10.36,true
5200899382,10.36,true
5200899384,10.36,true
5200899386,10.36,true
5200899387,10.36,true
5200899390,10.36,true
5200899391,10.36,true
5200899392,10.36,true
5200568952,3.41,true
5200568953,3.5,true
5200568954,3.58,true
5200568955,3.66,true
5200568956,4.18,true
5200568957,4.58,true
5200568958,4.98,true
5200568959,5.78,true
5200568960,6.17,true
5200568961,6.27,true
5200568962,6.98,true
5200568963,7.36,true
5200568964,8.22,true
5200568965,8.46,true
5200568966,10.56,true
5200568967,13.28,true
5200568968,14.1,true
5200568969,14.72,true
5200568970,15.51,true
5200568971,16.2,true
5200568972,3.14,true
5200568973,3.27,true
5200568974,3.87,true
5200568975,4.1,true
5200568976,4.33,true
5200568977,4.46,true
5200568978,4.59,true
5200568979,4.69,true
5200568980,5.29,true
5200568981,5.45,true
5200842694,18.5,true
5200842695,18.5,true
5200842696,17.28,true
5200842697,18.5,true
5200842698,25.85,true
5200842699,21.31,true
5200842700,18.5,true
5200842701,21.31,true
5200842702,35.57,true
5200842703,25.85,true
5200842704,21.31,true
5200842705,21.31,true
5200842706,21.31,true
5200842707,18.5,true
5200842708,18.5,true
5200842709,21.31,true
5200842710,21.31,true
5200842711,35.57,true
5200842712,18.5,true
5200842713,18.5,true
5200842714,35.57,true
5200842715,21.31,true
5200842716,21.31,true
5200842717,25.85,true
5200842718,35.57,true
5200842719,21.31,true
5200842720,35.57,true
5200842721,43.06,true
5200842722,23.47,true
5200842723,17.82,true
5200899393,10.36,true
5200899399,31.74,true
5200899408,31.74,true
5200899409,31.74,true
5200899410,31.74,true
5200899414,31.74,true
5200899419,31.74,true
5200899420,31.74,true
5200899421,31.74,true
5200899422,31.74,true
5200899424,31.74,true
5200899428,31.74,true
5200899431,31.74,true
5200899433,31.74,true
5200899437,31.74,true
5200899438,31.74,true
5200902010,33.34,true
5200902145,122.89,true
5200904984,35.33,true
5200905661,1.11,true
5200905662,2.22,true
5200905663,6.67,true
5200905955,24.34,true
5200906073,31.74,true
5200906074,42.4,true
5200906075,31.29,true
5200906076,30.44,true
5200906077,28.18,true
5200906078,26.19,true
5200906079,26.09,true
5200568982,6.26,true
5200568983,7.23,true
5200568984,7.66,true
5200568985,7.8,true
5200568986,8.66,true
5200568987,8.89,true
5200568988,9.87,true
5200568989,10.5,true
5200568990,12.42,true
5200568991,15.34,true
5200568992,16.38,true
5200568993,17.14,true
5200568994,18.26,true
5200568995,19.14,true
5200568996,4.08,true
5200568997,4.22,true
5200568998,4.86,true
5200568999,5.17,true
5200569000,5.38,true
5200569001,5.58,true
5200569002,5.71,true
5200569003,5.87,true
5200569004,6.54,true
5200569005,7.28,true
5200569006,7.8,true
5200569007,8.88,true
5200569008,9.36,true
5200569009,9.52,true
5200569010,10.28,true
5200569011,10.88,true
5200842724,18.58,true
5200842725,18.58,true
5200842726,17.82,true
5200842727,18.58,true
5200842728,23.47,true
5200842729,21.6,true
5200842730,18.58,true
5200842731,21.6,true
5200842732,41.51,true
5200842733,23.47,true
5200842734,23.47,true
5200842735,21.6,true
5200842736,21.6,true
5200842737,18.58,true
5200842738,18.58,true
5200842739,21.6,true
5200842740,21.6,true
5200842741,41.51,true
5200842742,18.58,true
5200842743,18.58,true
5200842744,41.51,true
