Product StockKeepingUnit,Price (01s68000002Qj2cAAC) EUR,Price (01s68000002Qj2cAAC) RON,IsActive
5200850028,31.44,,true
5200850030,39.3,,true
5200852651,51.66,,true
5200856852,58.11,,true
5200856854,64.57,,true
5200856856,47.16,,true
5200856858,52.4,,true
5200857449,10.72,,true
5200858980,49.28,,true
5200858982,57.48,,true
5200858984,61.6,,true
5200858987,65.7,,true
5200858989,73.91,,true
5200859927,41.06,,true
5200860221,20.53,,true
5200892814,8.31,,true
5200896476,8.31,,true
5200919793,19,,true
5200919795,27.51,,true
5200938746,8.73,,true
5200568576,10.83,,true
5200568577,16.25,,true
5200568586,10.72,,true
5200568588,12.86,,true
5200568592,21.44,,true
5200568614,25.73,,true
5200568615,30.02,,true
5200568617,34.3,,true
5200568619,38.59,,true
5200568620,42.88,,true
5200575818,13.1,,true
5200599953,15.72,,true
5200602730,26.2,,true
5200609765,32.29,,true
5200620158,45.2,,true
5200633853,38.74,,true
5200642235,48.43,,true
5200663810,19.37,,true
5200677175,32.16,,true
5200682021,16.14,,true
5200813885,4.03,,true
5200813886,4.19,,true
5200813888,4.44,,true
5200813889,4.84,,true
5200813892,3.76,,true
5200813894,4.7,,true
5200813896,4.89,,true
5200813897,5.64,,true
5200813899,3.16,,true
5200813900,3.95,,true
5200813901,4.11,,true
5200813904,5.23,,true
5200816273,12.52,,true
5200817335,21.74,,true
5200817338,7.16,,true
5200817344,2.39,,true
5200817347,1.19,,true
5200817348,3.78,,true
5200817351,7.02,,true
5200817355,84.58,,true
5200817362,22.82,,true
5200821268,17.91,,true
5200822141,9.27,,true
5200822143,7.22,,true
5200822421,4.6,,true
5200822808,5.88,,true
5200823617,196.04,,true
5200837842,166.59,,true
5200837843,174.83,,true
5200839525,1.98,,true
5200845740,49.18,,true
5200845820,4.89,,true
5200862557,4.68,,true
5200866395,23.54,,true
5200867302,19.63,,true
5200868416,46.06,,true
5200868417,51.84,,true
5200868418,56.97,,true
5200868419,73.04,,true
5200868420,87.78,,true
5200868421,105.34,,true
5200868422,122.9,,true
5200868423,131.68,,true
5200868424,140.45,,true
5200868425,158.01,,true
5200868426,175.57,,true
5200868427,193.13,,true
5200868428,210.68,,true
5200868429,219.46,,true
5200868430,47.64,,true
5200868431,54.97,,true
5200868432,70.48,,true
5200868433,84.71,,true
5200868434,101.65,,true
5200868435,118.6,,true
5200868436,127.07,,true
5200868437,135.54,,true
5200868439,169.42,,true
5200868440,186.37,,true
5200868441,203.31,,true
5200868442,211.78,,true
5200868443,56.7,,true
5200868445,84.8,,true
5200868446,105,,true
5200868447,127.2,,true
