Product StockKeepingUnit,Price (01s68000002d6IvAAI) EUR,Price (01s68000002d6IvAAI) RON,IsActive
5200451780,20.96,104.06,true
5200452777,69.16,343.37,true
5200550901,,1147.68,true
5200550904,,4621.92,true
5200550905,,5156.16,true
5200550907,,3388.32,true
5200550908,,2636.16,true
5200550912,,2670.84,true
5200550913,,2538.54,true
5200550919,,1135.68,true
5200550920,,2617.92,true
5200554100,,1104,true
5200554102,,1818.72,true
5200554103,,1041.6,true
5200554105,,1201.2,true
5200554106,,1221.6,true
5200554108,,937.86,true
5200554111,,255.67,true
5200554112,,255.67,true
5200554113,,255.67,true
5200554114,,255.67,true
5200554115,,255.67,true
5200554116,,109.65,true
5200554117,,109.65,true
5200554118,,109.65,true
5200554119,,109.65,true
5200554120,,109.65,true
5200554281,,291.2,true
5200554282,,291.2,true
5200554283,,291.2,true
5200554286,,291.2,true
5200554287,,291.2,true
5200554288,,291.2,true
5200554289,,291.2,true
5200554290,,291.2,true
5200554291,,291.2,true
5200554293,,291.2,true
5200554545,50.03,248.39,true
5200554546,50.9,252.71,true
5200554549,51.05,253.45,true
5200554551,42.19,209.46,true
5200557746,,95,true
5200557775,,165,true
5200557806,,19.96,true
5200557835,60.5,300.37,true
5200557839,69.16,343.37,true
5200557845,28.91,143.53,true
5200557847,32.54,161.55,true
5200557850,28.91,143.53,true
5200557853,67.88,337.01,true
5200557855,54.14,268.79,true
5200557857,54.14,268.79,true
5200557858,54.14,268.79,true
5200557859,54.14,268.79,true
5200557860,54.14,268.79,true
5200557861,37.96,188.46,true
5200557862,46.37,230.22,true
5200557863,60.94,302.55,true
5200557864,75.98,377.23,true
5200557874,,35.76,true
5200557880,9.38,46.57,true
5200557902,17.28,85.79,true
5200557903,23.04,114.39,true
5200557904,20.4,101.28,true
5200557905,27.2,135.04,true
5200557906,24.93,123.77,true
5200557908,33.24,165.03,true
5200557909,83.07,412.43,true
5200557912,48.39,240.25,true
5200557913,321.48,1596.08,true
5200557916,1.62,8.04,true
5200557917,2.04,10.13,true
5200557918,2.45,12.16,true
5200557922,1.73,8.59,true
5200557923,3,14.89,true
5200557924,3.6,17.87,true
5200557925,74,367.4,true
5200557926,89,441.87,true
5200557931,10.84,53.82,true
5200557933,1,4.96,true
5200557934,3.57,17.72,true
5200557935,5.61,27.85,true
5200557936,9.21,45.73,true
5200557937,5.16,25.62,true
5200557938,3.29,16.33,true
5200557939,3.95,19.61,true
5200557940,6.66,33.07,true
5200557941,9.79,48.61,true
5200557942,13.35,66.28,true
5200557944,43.16,214.28,true
5200557945,8.16,40.51,true
5200557946,14.02,69.61,true
5200557947,19.82,98.4,true
5200557948,18.93,93.98,true
5200557949,20.91,103.81,true
5200557950,21.41,106.3,true
5200557952,14.92,74.07,true
5200557953,19.68,97.71,true
5200557954,18.64,92.54,true
5200557955,12.14,60.27,true
5200557957,47.92,237.91,true
5200557958,61.67,306.18,true
5200557959,81.6,405.13,true
5200557960,25.96,128.89,true
5200557961,29.95,148.7,true
5200557962,34.14,169.5,true
5200557963,33.42,165.92,true
5200557965,35.63,176.9,true
5200557966,34.45,171.04,true
5200557967,41.71,207.08,true
5200557968,59.23,294.07,true
5200557969,31.85,158.13,true
5200557970,26.23,130.23,true
5200557971,7.49,37.19,true
5200557972,15.12,75.07,true
5200557973,29.82,148.05,true
5200557974,38.27,190,true
5200557975,47.62,236.42,true
5200557976,8.44,41.9,true
5200557977,15.14,75.17,true
5200557978,20.02,99.4,true
5200557979,30.26,150.23,true
5200557980,39.24,194.82,true
5200557981,49.04,243.47,true
5200557982,68.77,341.43,true
5200557987,11.63,57.74,true
5200557989,58.18,288.85,true
5200557990,104.86,520.61,true
5200557991,138.18,686.04,true
5200557992,151.48,752.07,true
5200557993,23.47,116.52,true
5200557994,29.59,146.91,true
5200557995,32.85,163.09,true
5200557996,35.6,176.75,true
5200557997,44.53,221.08,true
5200558039,40.96,203.36,true
5200558051,86.74,430.65,true
5200558085,44.09,218.9,true
5200558098,10.35,51.39,true
5200558099,99.68,494.89,true
5200558109,44.57,221.28,true
5200558119,107.87,535.55,true
5200558124,67.88,337.01,true
5200558134,,106.29,true
5200558135,,259.84,true
5200558143,121.68,604.12,true
5200558144,107.28,532.62,true
5200558145,53.64,266.31,true
5200558146,115.2,571.94,true
5200558149,44.09,218.9,true
5200558151,,46.03,true
5200558152,,109.73,true
5200558153,,133.58,true
5200558154,,92.77,true
5200558155,,126.16,true
5200558163,51.05,253.45,true
5200558165,5.91,29.34,true
5200558166,2.36,11.72,true
5200558167,1.18,5.86,true
5200558269,18.75,93.09,true
5200558282,139.79,694.03,true
5200558295,69.16,343.37,true
5200558300,8.22,40.81,true
5200558301,10.27,50.99,true
5200558302,6.57,32.62,true
5200558303,7.98,39.62,true
5200558304,6.54,32.47,true
5200558305,9.19,45.63,true
5200558306,11.26,55.9,true
5200558307,7.44,36.94,true
5200558308,6.22,30.88,true
5200558309,7.69,38.18,true
5200558311,31.85,158.13,true
5200558312,1.33,6.6,true
5200558313,5.2,25.82,true
5200558314,11.61,57.64,true
5200558315,14.74,73.18,true
5200558317,16.32,81.03,true
5200558333,8.18,40.61,true
5200568323,43.2,214.48,true
5200568324,,34.51,true
5200568325,,43.14,true
5200568326,,72.01,true
5200568327,,66.48,true
5200568328,,34.51,true
5200568329,,43.14,true
5200568330,,44.87,true
5200568331,,47.45,true
5200568332,,51.77,true
5200568333,,52.37,true
5200568334,,65.46,true
5200568335,,68.08,true
5200568336,,72.01,true
5200568337,,78.55,true
5200568338,,31.2,true
5200568339,,39,true
5200568340,,40.56,true
5200568341,,42.9,true
5200568342,,46.8,true
5200568343,,49.87,true
5200568344,,62.34,true
5200568345,,64.83,true
5200568346,,68.57,true
5200568347,,74.81,true
5200568348,,53.18,true
5200568349,,66.48,true
5200568350,,69.14,true
5200568351,,73.13,true
5200568352,,79.78,true
5200568353,,60.91,true
5200568354,,76.14,true
5200568355,,79.19,true
5200568356,,83.75,true
5200568357,,91.37,true
5200568358,,78.58,true
5200568359,,98.22,true
5200568360,,102.15,true
5200568361,,108.04,true
5200568362,,117.86,true
5200568363,,46.27,true
5200568364,,57.84,true
5200568365,,60.15,true
5200568366,,63.62,true
5200568367,,69.41,true
5200568368,,48.32,true
5200568369,,73.32,true
5200568370,,45.73,true
5200568372,,46.59,true
5200568373,,49.92,true
5200568374,,55.22,true
5200568375,,83.79,true
5200568376,,79.8,true
5200568377,,49.18,true
5200568378,,74.62,true
